kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
ДГ №90 Веса Паспалеева (с яслени групи),19,90,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.735319,23.303198&spn=0.001868,0.003626&t=h&z=18&iwloc=00044dcc5bfbe0b5f857d",13,Надежда
ДГ №115 Осми март (с яслени групи),99,115,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.724853,23.306701&spn=0.001868,0.003626&t=h&z=18&iwloc=00044dcf5f2e3b9a79c29",13,Надежда
ДГ №115 Осми март - сграда Връбница,24,115,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.731548,23.299727&spn=0.001868,0.003626&t=h&z=18&iwloc=00044de0f86e742bf78f8",13,Надежда
ДГ №115 Осми март - сграда ул. 8-ми март 15,259,115,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.729598,23.304899&spn=0.003728,0.006416  ",13,Надежда
ДГ №137 Калина Малина - сграда ул. Александър Михов 25,261,137,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.728542,23.316593&spn=0.007456,0.012832  ",13,Надежда
ДГ №170 Пчелица,113,170,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.730953,23.295822&spn=0.001868,0.003626&t=h&z=18&iwloc=00044de2700c5a93c3b7f",13,Надежда
ДГ №170 Пчелица - сграда 2,239,170,https://www.google.com/maps/d/viewer?hl=bg&mid=16SSNdcKE-i_XeQ2mlaYxnZeXeTY&ll=42.72725234966915%2C23.2959921399422&z=19,13,Надежда
ДГ №171 Свобода (с яслени групи),128,171,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.738258,23.304384&spn=0.001868,0.003626&t=h&z=18&iwloc=00044de28ffbc113d3a84",13,Надежда
ДГ №172 София (с яслени групи),304,172,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.72593,23.29734&spn=0.00187,0.003626&t=h&z=18&iwloc=00044d91146130e33c98a",13,Надежда
ДГ №13 Калинка (с яслени групи),73,13,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.670379,23.388503&spn=0.002378,0.005681&iwloc=00044d9285e68b55cd4c4",14,Искър
ДГ №21 Ежко Бежко,236,21,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.674217,23.429793&spn=0.002394,0.005681&iwloc=000490367d43a1f2eb350",14,Искър
ДГ №21 Ежко Бежко - сграда 2 (с яслени групи),6,21,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.668186,23.399699&spn=0.00187,0.003626&t=h&z=18&iwloc=00044e1e9af544d173647",14,Искър
ДГ №36 Пеперуда (с яслени групи),103,36,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.667141,23.395616&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da4f14fe10efe6bd",14,Искър
